tweet,class,clean_tweet
@Barbod6FCB Am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga,1,barbod6fcb gonna shut shit bitch u get yo punk ass hoe ass nigga
People are such bitches!!! Complaining over stupid things!,1,people bitches complaining stupid things
If the servers for black ops 2 acts gay today this is my bitch fo the nite http://t.co/8rbDhEIa,1,servers black ops 2 acts gay today bitch fo nite
When a hoe tryna get at you while ya girl is looking http://t.co/Ihlzw7njke,1,hoe tryna get ya girl looking
@Harbison92 you knw where i am pussy i hate when u ask me tht,1,harbison92 knw pussy hate u ask tht
If you dont know uncle JJ your a bitch,1,dont know uncle jj bitch
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",2,mrad 8220dezdlt play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy04
RT @cocoQTe: &#128514;&#128514;RT @supbishes: Lol RT @Joanna52011: &#128514;&#128557; RT @lettuceprey8: Just so u faggots know! http://t.co/bGhTSjipNe,1,rt cocoqte 128514128514rt supbishes lol rt joanna52011 128514128557 rt lettuceprey8 u faggots know
"RT @TheOnlyReed: Lmaooooooo ain't fuckin no bitch with doo Doo in her butt while I'm foreplaying, THE FUCK",1,rt theonlyreed lmaooooooo aint fuckin bitch doo doo butt im foreplaying fuck
They say I wouldn't make it now them same bitches is calling my cellular,1,say wouldnt make bitches calling cellular
&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers,0,8220medaoriginbitch one friend greet insult8221 morbidmermaid evanbecker513 niggers
Saya Natsukawa gets her pussy fucked and licked by two horny&#160;Japaneses. http://t.co/e1va9eIIz3,1,saya natsukawa gets pussy fucked licked two horny160japaneses
http://t.co/74uLxaf &lt;--this bitch @vewxyz,1,ltthis bitch vewxyz
RT @davidcomanhidy: It is well known that @centerplate supports cruelty to birds. #saveanimals-sign this petition: http://t.co/t07KZ5myEv h&#8230;,2,rt davidcomanhidy well known centerplate supports cruelty birds saveanimalssign petition h8230
Omfg. The crazy bitch is here&#128557;&#128584;,1,omfg crazy bitch here128557128584
Happy 18th to these main bitches!!! Take it easy on the cigs! @aqfleck @rmusshy http://t.co/aa7z9X1KUw,1,happy 18th main bitches take easy cigs aqfleck rmusshy
@LuckyL3FT @najmaaa_ali yellow bone be oh so easy wit da name callin b,2,luckyl3ft najmaaaali yellow bone oh easy wit da name callin b
Never again will I put so much into a relationship unless the bitch ACTUALLY puts more effort into it than me.,1,never put much relationship unless bitch actually puts effort
RT @Marlin_FishyAss: If I did smoke I would not be smokin hoes out... Less they gettin fucked on,1,rt marlinfishyass smoke would smokin hoes less gettin fucked
@tess_stepakoff @jetsnation6297 bitch please I'm a stud,1,tessstepakoff jetsnation6297 bitch please im stud
"@The_Red_Sea @shetheTRUTHtho say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit",0,theredsea shethetruththo say shit face bruh bitch gettin man u dont know business handle yo shit
RT @leek_porter21: &#8220;@_1MDot: I hate a always wanna smoke but aint got no money as nigga/bitch like bye falisha&#8221;&#128514;&#128514;&#128514;,1,rt leekporter21 82201mdot hate always wanna smoke aint got money niggabitch like bye falisha8221128514128514128514
Bitches corny with that not saving numbers shit I hate them hoes,1,bitches corny saving numbers shit hate hoes
Real bitches who really hungry won't be out here arguing with bitches on twitter straight flexin,1,real bitches really hungry wont arguing bitches twitter straight flexin
What a bitch.. #pshh,1,bitch pshh
RT @Landontours: Nice baby bump bitch.,1,rt landontours nice baby bump bitch
@Jessycaa_Rubi @O_ShitItsLaura Bitch you just an inch taller than me &#128079;&#128079; &amp; we normal height Jessyca and Daysi are just some short bitches &#128514;,1,jessycaarubi oshititslaura bitch inch taller 128079128079 amp normal height jessyca daysi short bitches 128514
I wonder if twitter didnt allow pictures and avi's how many followers yall would really have ... Cus yall bitches dont be talkin bout shit &#128514;,1,wonder twitter didnt allow pictures avis many followers yall would really cus yall bitches dont talkin bout shit 128514
I eats the pussy.,1,eats pussy
RT @LHT_519: when ya side hoe playing too much &amp; all you want is head /// https://t.co/7eALhuTA02,1,rt lht519 ya side hoe playing much amp want head
#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,2,blessjesus amos 510 hate one upholds justice court detest one tells truth
@ViVaLa_Ari smh what's wrong wit u ho,1,vivalaari smh whats wrong wit u ho
@kincade00 @PacTha_Mac lmaooooo we can't wash that baby ass honda you got cause that hoe don't cost more than 1200,1,kincade00 pacthamac lmaooooo cant wash baby ass honda got cause hoe dont cost 1200
"RT @robdelaney: I put my pants on one leg at a time, just like you guys. But then I eat a plus-size model&#8217;s pussy in my helicopter.",1,rt robdelaney put pants one leg time like guys eat plussize model8217s pussy helicopter
"omg this movie #schooldance is str8 up retarded, lil duval actually taller den kevin hart, n mikepps is a dayum principal",1,omg movie schooldance str8 retarded lil duval actually taller den kevin hart n mikepps dayum principal
@sguzinski well I don't use it anymore and I'd like a dslr I'm just a broke bitch so yeah,1,sguzinski well dont use anymore id like dslr im broke bitch yeah
"@TheKushZombie Aww y u so mad tho, a successful man LMFAO, hut hugging as faggot.",0,thekushzombie aww u mad tho successful man lmfao hut hugging faggot
Chris a faggot,1,chris faggot
"RT @djvlad: ""if your sis is a bitch, brother is a jerk,
leave 'em both alone and continue with your work"" - Q-Tip",1,rt djvlad sis bitch brother jerk leave em alone continue work qtip
It's a recession on everything RT @cindielu Chasing pussy is never attractive!,1,recession everything rt cindielu chasing pussy never attractive
"It's funny how females don't want to be called a ""bitch"" but if you put the word bad in front of it then they're happy af",1,funny females dont want called bitch put word bad front theyre happy af
"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",2,teejonez kingcuh 16stanleys im mad cuh hahaha suure tuku ho ita 128514128514
She a bird for that ... Shit was disrespectful! Then ran outside n left her man to get bossed on!,1,bird shit disrespectful ran outside n left man get bossed
"Thinking you're the godfather of maddiston lol, you're the fucking wee bitch man. If you've got a problem come to mine, al snap ur spine.",1,thinking youre godfather maddiston lol youre fucking wee bitch man youve got problem come mine al snap ur spine
pimps up hoes down!!! http://t.co/NuI9uJvfA2,1,pimps hoes
@M_A_Larson @SteveStreza You're saying zebras are goth?,2,malarson stevestreza youre saying zebras goth
RT @netflix: Here's your first look at Charlie Cox as Matt Murdock in #Marvel's @Daredevil on #Netflix #NYCC http://t.co/SIYuCgok8J,2,rt netflix heres first look charlie cox matt murdock marvels daredevil netflix nycc
"RT @LuvPug: If you don't RT cat tweets, you're just a big pussy",1,rt luvpug dont rt cat tweets youre big pussy
What a trash franchise. RT @ArashMarkazi: Fergie will sing the National Anthem at the Clippers season opener tomorrow.,2,trash franchise rt arashmarkazi fergie sing national anthem clippers season opener tomorrow
@The_GreyFoxxx @TielerMLG @HalfAssed_ and you're a vegetarian pussy,1,thegreyfoxxx tielermlg halfassed youre vegetarian pussy
I'm back bitch,1,im back bitch
RT @WorldStarFunny: we don't love these hoes http://t.co/3waEZGCOVI,1,rt worldstarfunny dont love hoes
270 on flappy bird suck my dick and lick my balls #swag,1,270 flappy bird suck dick lick balls swag
Never trust a bitch you took from a nigga &#128175;,1,never trust bitch took nigga 128175
@BigD757 too bad hes a faggot,1,bigd757 bad hes faggot
ain't the bitch Mimi still wit Gay ass Nikko????,1,aint bitch mimi still wit gay ass nikko
So am I the only cracker up playing his guitar (thank you @Tampa_Rick ) on this Saturday night?,2,cracker playing guitar thank tamparick saturday night
@Willbur64 @WolzgotBolz fight me bitch.,1,willbur64 wolzgotbolz fight bitch
My nigga Bolin does NOTHING but win with the bitches breh,1,nigga bolin nothing win bitches breh
@jstewcoolcat fag lol,1,jstewcoolcat fag lol
Rap bitches prolly scared of Remy ma lol,1,rap bitches prolly scared remy lol
"Listening to the Latina women talk about their baby daddy's and""beating bitches asses"" makes being in the sub at 9am worth it...a little bit",1,listening latina women talk baby daddys andbeating bitches asses makes sub 9am worth ita little bit
RT @xDSmooth: @IzThat_xp @1BookieG lmao niggah this is twitter my Kenosha bitches can't be trained like my Florida bitches,1,rt xdsmooth izthatxp 1bookieg lmao niggah twitter kenosha bitches cant trained like florida bitches
Where are all those whiny bitches when Kris left? How come Lulu ain't gettin shit?,1,whiny bitches kris left come lulu aint gettin shit
You a basic ass bitch #realtalk,1,basic ass bitch realtalk
Why do yall bitches act so childish,1,yall bitches act childish
I slept good thenna bitch tho,1,slept good thenna bitch tho
Stupid bitches&#9995;&#128529; &lt;&lt;&lt; FUCK . &#128530;,1,stupid bitches9995128529 ltltlt fuck 128530
"This girl legit looks like a pig, Kiss imik you bitch",1,girl legit looks like pig kiss imik bitch
one man's trash is another man's wife.,2,one mans trash another mans wife
I ain't really trippin about the money yo that shit constantly comes like a bitch pussy,1,aint really trippin money yo shit constantly comes like bitch pussy
@b_scheich &#128072;&#128166; salute a bad bitch,1,bscheich 128072128166 salute bad bitch
For such bold people confrontation seems to make bitches out of alot of you,1,bold people confrontation seems make bitches alot
"neither have i :-/ RT @DerekIsNormal: I just...why...ok. RT @pieceofshittbh: ""I've never had a nigger cock"" https://t.co/JF9o9vjcBL",1,neither rt derekisnormal justwhyok rt pieceofshittbh ive never nigger cock
RT @SVL305: @VJtechsupport @YoungMcFly the real reason y she gave up rapping was because of ME.. i called her trash to her face n asked for&#8230;,2,rt svl305 vjtechsupport youngmcfly real reason gave rapping called trash face n asked for8230
RT @CreepGawddess: Wait what?? RT @SoulfulBrotha: $65 a random number for some pussy.,1,rt creepgawddess wait rt soulfulbrotha 65 random number pussy
"This fat bitch got all huffy cause she took too long to make her turn, so I took it, so she mouthed off to me&#128514;&#128075;&#128075; #girlbye&#128129;",1,fat bitch got huffy cause took long make turn took mouthed me128514128075128075 girlbye128129
@KtKasey nooo I am....lmfao and don't bitch me ya bitch,1,ktkasey nooo amlmfao dont bitch ya bitch
"Laughing at my deck that they gave me, yellow and jesus stencils all over it",2,laughing deck gave yellow jesus stencils
@Iemonaids Id break that little bitches finger,1,iemonaids id break little bitches finger
&#128514;&#128557;&#128128; RT @iDO_me2: Hood hoes love Harrell football team&#128528;,1,128514128557128128 rt idome2 hood hoes love harrell football team128528
@_VIVMMXII yuhh I'm finna hit that hoe! &#128513;&#128077;,1,vivmmxii yuhh im finna hit hoe 128513128077
RT @annamarixae: @WhereYoHussleAt YESSSS bitch&#128166;&#128525;&#128147;,1,rt annamarixae whereyohussleat yessss bitch128166128525128147
@justezzzee and your an annoying ass fuck boy he could of still meet up and fight somwhere else u can shut that bitch shit up fuck boy,1,justezzzee annoying ass fuck boy could still meet fight somwhere else u shut bitch shit fuck boy
These celebrity niggas be passing these Kardashian hoes around monthly,1,celebrity niggas passing kardashian hoes around monthly
What a fag,0,fag
RT @_laddieD: These hoes sad man,1,rt laddied hoes sad man
RT @DragonBallDeez: *Atlanta RT @PacDaGoat: Houston has so many trash drivers,2,rt dragonballdeez atlanta rt pacdagoat houston many trash drivers
&#127829;&#128049; RT @TAN1AAA: RT @PeachDulce: A piece of pussy http://t.co/BcWiT2nuz5,1,127829128049 rt tan1aaa rt peachdulce piece pussy
"I think dat @Miss_Facetious called me a nigger!
What do move away from da dark side mean?",0,think dat missfacetious called nigger move away da dark side mean
"RT @fvtboy: Half the bitches that say tfti , wouldn't even go I bet.",1,rt fvtboy half bitches say tfti wouldnt even go bet
Yeah bitch,1,yeah bitch
@trestiffer lil b already to puff for the hoes,1,trestiffer lil b already puff hoes
RT @TheVoiceOfMiami: Miami* RT @PacDaGoat: Houston has so many trash drivers,2,rt thevoiceofmiami miami rt pacdagoat houston many trash drivers
&#8220;@JohnelHadleyJr: Uncle Charlie just got thru lip singing?!&#8221;haha,2,8220johnelhadleyjr uncle charlie got thru lip singing8221haha
I called at least 20 times to make my hair appointment and these bitches don't pick -.- guess I have to stop in to make an appointment #Grrr,1,called least 20 times make hair appointment bitches dont pick guess stop make appointment grrr
"How I'm supposed to know you not just a butch dyke if yeen got a beard, my man?",1,im supposed know butch dyke yeen got beard man
When your nigga passes you a hoe http://t.co/ItusP1WVoI,1,nigga passes hoe
fags god damn,1,fags god damn
&#8220;@BobbyBudnic Oxtails and yellow rice is blasphemy&#8221; boneless,2,8220bobbybudnic oxtails yellow rice blasphemy8221 boneless
@DamoneTheDon bitch I got some bloods dat hang in la,1,damonethedon bitch got bloods dat hang la
"RT @Mobute: Rick Scott vs. Charlie Crist is the worst gubernatorial election in America, and it's the face of our ugly future. http://t.co/&#8230;",2,rt mobute rick scott vs charlie crist worst gubernatorial election america face ugly future
"""I don't love these hoes, baby It's me and you forever""",1,dont love hoes baby forever
"Got my own place , pay my own bills &amp; rent &amp; 2 jobs. Tf am I worried about a next bitch for?",1,got place pay bills amp rent amp 2 jobs tf worried next bitch
"The pilgrims was high as fuck, like ""Lets kill a big ass bird and eat it with a billion other things",1,pilgrims high fuck like lets kill big ass bird eat billion things
RT @_SiNCERE18: - when ya friends nag you like they yo bitch &#128064; mayne chill tf,1,rt sincere18 ya friends nag like yo bitch 128064 mayne chill tf
RT @Yankees: Show your support during #FleetWeekNYC with #troopthanks. You could be on the @BofA_Community billboard in Times Sq! http://t.&#8230;,2,rt yankees show support fleetweeknyc troopthanks could bofacommunity billboard times sq
eli manning looks like a idiot when he's talking to the guys on the sideline with his hands up . like retarded af,1,eli manning looks like idiot hes talking guys sideline hands like retarded af
"RT @ticiaverveer: Royal city of the Kushite kings at Meroe (Sudan),near River Nile.It was the seat of the rulers who occupied Egypt http://&#8230;",2,rt ticiaverveer royal city kushite kings meroe sudannear river nileit seat rulers occupied egypt
"@gayle_ryan I don't hate the Japs. But, I AINT FORGETTING GETTIN JAPPED EITHER.",0,gayleryan dont hate japs aint forgetting gettin japped either
You're just another nigguh.,0,youre another nigguh
My Fantasy reign starts today! Got pussy nigga Los up first lmao...cmon Seattle D cut upppppp!!!,1,fantasy reign starts today got pussy nigga los first lmaocmon seattle cut upppppp
If you act like a fucking retard when your high it's over mane stay away from me.,1,act like fucking retard high mane stay away
Where the hoes at...,1,hoes
Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,2,tattoos expression meaning one mans trash another mans treasure 128161128176
Spittin Crystal in a bitch face was Larry Johnson's funniest moment in my book. Sue me for having a sense of humor.,1,spittin crystal bitch face larry johnsons funniest moment book sue sense humor
U think them nigs u with is with u?,1,u think nigs u u
Niggas trash AF,1,niggas trash af
"RT @gotmollylove: girls really be comfortable with they dudes addressing them as ""they bitch"" I'm sorry but that will never fly with me.",1,rt gotmollylove girls really comfortable dudes addressing bitch im sorry never fly
Lol that's some hoe shit,1,lol thats hoe shit
"gonna get a tattoo of a teardrop on my dick
cause i murdered that pussy",1,gonna get tattoo teardrop dick cause murdered pussy
RT @urinnerdevil: ur typical twitter hoe http://t.co/YJE9LUnWVp,1,rt urinnerdevil ur typical twitter hoe
"on the first day of school, my backpack had no paper and no books. all it had were 4 granola bars, a brownie, and a bag of cookies.",2,first day school backpack paper books 4 granola bars brownie bag cookies
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",1,linniekravitz wesgodlaflare bitch wtf
"Your girl pussy like a walk in clinic, the cure for every sick nigga",1,girl pussy like walk clinic cure every sick nigga
@wellheeledking I still think he is a pussy haha,1,wellheeledking still think pussy haha
Well done? What a coon.,1,well done coon
"&#8220;@ZvckSlvt3r704: My sister shittin on you hos once again ""@VSamone: wodeh bout dat action http://t.co/nzHXA8GuA5""&#8221;&#128536;&#128536;&#128536;",1,8220zvckslvt3r704 sister shittin hos vsamone wodeh bout dat action
&#8220;@DukeAlexMoore: Malibus on a come-up but in other news she mean denna hoe and not even light skinedddd http://t.co/SGGOkjTScH&#8221; HAHAHA!!,1,8220dukealexmoore malibus comeup news mean denna hoe even light skinedddd hahaha
"@kannslac He said ""ready bitch okay"" Lmfaoooooooo so done !!",1,kannslac said ready bitch okay lmfaoooooooo done
2 year starting on me on the street... so i put a fag out on him. #funnyguy,1,2 year starting street put fag funnyguy
RT @Cocaine_Papii: If you don't make her go to sleep after y'all fucked then your pipe game trash,1,rt cocainepapii dont make go sleep yall fucked pipe game trash
Lmfao.. oh i forgot.. texting it to u now RT @DaRealQuitaM: @VonshayeB I told u to text me what I need to buy for the salad a bitch hungry,1,lmfao oh forgot texting u rt darealquitam vonshayeb told u text need buy salad bitch hungry
Thanksgiving break bitches!,1,thanksgiving break bitches
"I turned on the BET awards for 10 seconds, and got to witness random bitches getting drunk, and D-Wade dancing to R-Kelly.",1,turned bet awards 10 seconds got witness random bitches getting drunk dwade dancing rkelly
RT @DeRayDavis: There is no cure for Ratchet. It has to run its course in these bitches.,1,rt deraydavis cure ratchet run course bitches
@Alejandro_Bihhh @CapoDaAssHole I'm on this hoe like this every night just be tweeting bullshit,1,alejandrobihhh capodaasshole im hoe like every night tweeting bullshit
RT @FenkellPayroll: Ppl quick 2 bitch about what somebody ain't did for em when 9 times outta 10 they ain't did shit for that person,1,rt fenkellpayroll ppl quick 2 bitch somebody aint em 9 times outta 10 aint shit person
RT @NFLTalkRT: RT if your team is trash,2,rt nfltalkrt rt team trash
@elchavaloko what's the difference between the three of the nig Nog's?,1,elchavaloko whats difference three nig nogs
Slim Hines lil bruda ainn bout it bitch how yu figure,1,slim hines lil bruda ainn bout bitch yu figure
My neighbors be sick when i wake um up to all this nigger music ctfu,0,neighbors sick wake um nigger music ctfu
"@Amor_Anjel right , Come then what ? Wait another 9 months ? Naaaawwwww &#9995; I could be pimpin these hoes lol",1,amoranjel right come wait another 9 months naaaa 9995 could pimpin hoes lol
RT @Unorthodex: Nah I hate white people now since he looks like a dyke RT @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt,0,rt unorthodex nah hate white people since looks like dyke rt elbasedparko think ended racism
RT @TiffaniRenee3: @Victoria_Finae @drrrruuuu jealous bitch. &#128514;,1,rt tiffanirenee3 victoriafinae drrrruuuu jealous bitch 128514
Hoes respect niggas who get strait to the point I won't lead a bitch on if all I won't is crash den it will be adressed clearly#turn up,1,hoes respect niggas get strait point wont lead bitch wont crash den adressed clearlyturn
RT @Master11_: Slowly moving down the list in bs and hoes .... I already know Nolan and Lamar stock is rising lol,1,rt master11 slowly moving list bs hoes already know nolan lamar stock rising lol
@KILLQuana choke on something hoe,1,killquana choke something hoe
Annnnd you're a dyke. &#9995;,1,annnnd youre dyke 9995
&#8220;@Jae_Poppa_: @100046729 lol what else do we have in common nigga hate sleeping in the heat&#8221;&#128514;&#128514; summer is for the birds,1,8220jaepoppa 100046729 lol else common nigga hate sleeping heat8221128514128514 summer birds
@maccabeez thanks...bitch.,1,maccabeez thanksbitch
"Apolonia Gardner of Imperial, CA misspells ""phalarope"" - a bird that resembles a sandpiper. The dreaded schwa! #spellingbee",2,apolonia gardner imperial ca misspells phalarope bird resembles sandpiper dreaded schwa spellingbee
@chriscurtis410 I agree the fat bitches the only girls left not gettin passed around,1,chriscurtis410 agree fat bitches girls left gettin passed around
"RT @_NoREGGIEAllow: I think IF i had hoes , i would tell them alll the same shit &#128514; im too lazy to be tryna switch shit up . &#128564;",1,rt noreggieallow think hoes would tell alll shit 128514 im lazy tryna switch shit 128564
@GoHard_Brown @your_daddy9 &amp; xavier you bitch.,1,gohardbrown yourdaddy9 amp xavier bitch
@CallMeRenee_ bitch u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,1,callmerenee bitch u bs fck yah 999665039128553128514128514128080128079128526128129
You hoes give me more and more reasons everyday to stay my ass single for another 2 years,1,hoes give reasons everyday stay ass single another 2 years
Calling it am early night heartache is a bitch #broken,1,calling early night heartache bitch broken
Bitches dont wann fxck me no more bitches wanna fxck all my bitches,1,bitches dont wann fxck bitches wanna fxck bitches
RT @wtfdawkins: Let's go Yankees,2,rt wtfdawkins lets go yankees
RT @NickCoyne001: Guys who tweet shit to get a bunch of favorites are on the same level as hoes,1,rt nickcoyne001 guys tweet shit get bunch favorites level hoes
RT @Stuff4blackppl: Not basic bitches,1,rt stuff4blackppl basic bitches
RT @GabrielaAngela4: That hoe wanta 6/6.,1,rt gabrielaangela4 hoe wanta 66
RT @bitchniggabob: If she called me ugly and started pushin me around. I'd run like a mother fucking pussy screaming for my mom to help htt&#8230;,1,rt bitchniggabob called ugly started pushin around id run like mother fucking pussy screaming mom help htt8230
@KxRxSxB haha no but I was ready to slap that bitch again he came walkin in my room to say hi while I was playin saints in my underwear -_-,1,kxrxsxb haha ready slap bitch came walkin room say hi playin saints underwear
"RT @ShowMeATittie: P&#8217;s up hoes down, if ya bitch can&#8217;t swim then tha hoe gone drown",1,rt showmeatittie p8217s hoes ya bitch can8217t swim tha hoe gone drown
"RT @BullhammerPT: @HumbleTeej @TrillSmith @onthewrite Shut your bitch ass up. You got something to say about me, mention me. Peezy eyed bit&#8230;",1,rt bullhammerpt humbleteej trillsmith onthewrite shut bitch ass got something say mention peezy eyed bit8230
RT @AZEALIABANKS: Ladies its a full moon. Which means pussy power is in full effect.. yall better get some dick tonnnnniiiiiiggggghhht!!!,1,rt azealiabanks ladies full moon means pussy power full effect yall better get dick tonnnnniiiiiiggggghhht
Jones and Iba&#241;ez are out of gas after giving it their all earlier in the first half. The call-ups should get more playing time #Yankees #MLB,2,jones iba241ez gas giving earlier first half callups get playing time yankees mlb
"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""",1,tyjoncuffee aint hoe get traphoussseeeee
"""Let's do nips ahoy and spank me maybe""",1,lets nips ahoy spank maybe
@thereal_2raw @AssGods Brah *falls out* white bitches crazy,1,thereal2raw assgods brah falls white bitches crazy
"RT @_Kristin_Nikole: ""@zzachbarness: Swear AG ugly den a bitch. He look like a possum and giraffe mix breed."" This isnt funny. But I died l&#8230;",1,rt kristinnikole zzachbarness swear ag ugly den bitch look like possum giraffe mix breed isnt funny died l8230
"Everybody loves pot brownies, but I bring crystal meth cupcakes to a party, Suddenly I'm the weirdo",2,everybody loves pot brownies bring crystal meth cupcakes party suddenly im weirdo
"@kay_laa_laa if you can't stand the heat, get out of the kitchen. Gratata swag bitch &#128526;",1,kaylaalaa cant stand heat get kitchen gratata swag bitch 128526
RT @RBK_STEVIEJ: I dont respect nun about a bitch cause idgaf bout des hoes,1,rt rbksteviej dont respect nun bitch cause idgaf bout des hoes
@A_Little_Wicked that's not ghetto. That's sweet and a movie quote. Try again,2,alittlewicked thats ghetto thats sweet movie quote try
@giantsniners85 he's the definition of little squirrelly bitch,1,giantsniners85 hes definition little squirrelly bitch
RT @BamBam_131st: @1stBlocJeremiah ima beat yo lil young ass quick plyin hoe&#128074;&#128514;&#128514;,1,rt bambam131st 1stblocjeremiah ima beat yo lil young ass quick plyin hoe128074128514128514
These hoes everybody hoes lol go at any bitch bet u get her easy !,1,hoes everybody hoes lol go bitch bet u get easy
RT @TomArnold: Boy went trick or treating at Charlie Sheen's. Dada not jealous cause all Charlie gave out was really good candy and by cand&#8230;,2,rt tomarnold boy went trick treating charlie sheens dada jealous cause charlie gave really good candy cand8230
&#127942; RT @UBoyRock17: Every bitch n my passenger seat I dun fucked at least one time,1,127942 rt uboyrock17 every bitch n passenger seat dun fucked least one time
"RT @WeedHumor: Marijuana is a gateway drug. It leads to happiness, great sex, pain relief, and increased patience with crazy bitches. And w&#8230;",1,rt weedhumor marijuana gateway drug leads happiness great sex pain relief increased patience crazy bitches w8230
@IMNOTMAKINGITUP Hey u just followed me not long ago. Gonna nip that in da bud. like ur bio tho. U know the white devils stole our our,2,imnotmakingitup hey u followed long ago gonna nip da bud like ur bio tho u know white devils stole
I'm no man-hoe tho....,1,im manhoe tho
"@TheRealSaigon What are you gonna do? I'ma chase you out the club, like mobb deep did to you, pussy.",1,therealsaigon gonna ima chase club like mobb deep pussy
Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*,2,nothing yokel msu fan constantly reassess izzo aka consistent winner since daugherty biggie flipping munn
@CaptElliott NFN you bitch to much.,1,captelliott nfn bitch much
"RT @ClicquotSuave: we were at the party last night and P goes...""bro this nigg got on chucks just chillin and dancing w/ all the bitches""..&#8230;",1,rt clicquotsuave party last night p goesbro nigg got chucks chillin dancing w bitches8230
@ElyssaJankowski @ComedyTextings haha she a stupid hoe,1,elyssajankowski comedytextings haha stupid hoe
"Charlie Crist has asked to keep polls in Broward open until 9pm, claiming long lines. Media reports say turnout light in Broward.",2,charlie crist asked keep polls broward open 9pm claiming long lines media reports say turnout light broward
"&#8220;@DStacks__23: If you aint got shit goin for ya self, what bitch gone want you&#8221;&#10071;&#65039;&#10071;&#65039;&#10071;&#65039;",1,8220dstacks23 aint got shit goin ya self bitch gone want you8221100716503910071650391007165039
&#8220;@AC_Hussle: 98% of women were sluts freshman year of college.&#8221; Let these hoes be great,1,8220achussle 98 women sluts freshman year college8221 let hoes great
Its what we call #Bitchassness RT @MoeDeloach: If a nicca tell a female another man got mad girls throwin salt that man gay straight up,1,call bitchassness rt moedeloach nicca tell female another man got mad girls throwin salt man gay straight
"Only Blood Can Satisfy The Hungry Flames Of R&#8217;hollor, Charlie Brown",2,blood satisfy hungry flames r8217hollor charlie brown
@jaredlikelndn monkey dong,1,jaredlikelndn monkey dong
"RT @InnocentMarina6: *Goes to Yankee candle*

*buys beer scented candle*

*goes home, lights it* 

*waits for a boyfriend*",2,rt innocentmarina6 goes yankee candle buys beer scented candle goes home lights waits boyfriend
Them quiet girls be hoes to watch out,1,quiet girls hoes watch
RT @TAXSTONE: I spray Clorox on the seat after bitches use it I ain't had that much trust in females since Sam Rothstein met Ginger,1,rt taxstone spray clorox seat bitches use aint much trust females since sam rothstein met ginger
Mcdonalds pipe self defence beating: http://t.co/Gk5wbObJTC This is one nigger who's hand I would shake. That's how you deal with sheboons.,0,mcdonalds pipe self defence beating one nigger whos hand would shake thats deal sheboons
RT @VillageBae: All Detroit niggas do is listen to DBCO and fuck other niggas bitches while trying to hold on to their own with no money an&#8230;,1,rt villagebae detroit niggas listen dbco fuck niggas bitches trying hold money an8230
&#8220;@garytiffany_: Make the most of what you have.&#8221; Don't tell me what to do bitch,1,8220garytiffany make have8221 dont tell bitch
"Och hoe wonderbaarlijk dat Jan het alweer met n Marokkaanse BNer aan de stok heeft. Na Fatima, Lamyea, Tofik, nu ook Abdelka te min gevonden",2,och hoe wonderbaarlijk dat jan het alweer met n marokkaanse bner aan de stok heeft na fatima lamyea tofik nu ook abdelka te min gevonden
"RT @raider_level: She was like ""I don't go to raider games. They are ghetto and people get jumped"" lmao I was like ""well the shit sound lik&#8230;",1,rt raiderlevel like dont go raider games ghetto people get jumped lmao like well shit sound lik8230
I'm thankful for dem big booty hoes doe #realtalk,1,im thankful dem big booty hoes doe realtalk
RT @Jakelewis44_: &#8220;@UmPoptart: When Mr. Krabs sold Spongebob out for 62 cents thats when I knew hoes ain&#8217;t loyal&#8221;realist shit I've seen&#128548;,1,rt jakelewis44 8220umpoptart mr krabs sold spongebob 62 cents thats knew hoes ain8217t loyal8221realist shit ive seen128548
All these 4/20 tweets are retarded most of these nig nogs haven't even smoke a bl&#250;nt ever,1,420 tweets retarded nig nogs havent even smoke bl250nt ever
RT @XIIXX_: Only soo much a bitch can take...,1,rt xiixx soo much bitch take
"RT @copperpeony: @LibsHateUs @1Dittlinger Sharpton went from being a big fat snitch to a skinny bitch. Either way, he's nothing but a carni&#8230;",1,rt copperpeony libshateus 1dittlinger sharpton went big fat snitch skinny bitch either way hes nothing carni8230
